$$Name$Hutte__Location__Longitude__s$Hutte__Location__Latitude__s,Hutte__Address__c,Hutte__Assessed_Value__c,Hutte__Baths__c,Hutte__Beds__c,Hutte__Broker__r.Hutte__Email__c,Hutte__City__c,Hutte__Date_Agreement__c,Hutte__Date_Closed__c,Hutte__Date_Contracted__c,Hutte__Date_Listed__c,Hutte__Date_Pre_Market__c,Hutte__Description__c,Hutte__Location__Latitude__s,Hutte__Location__Longitude__s,Hutte__Picture__c,Hutte__Price__c,Hutte__Price_Sold__c,Hutte__State__c,Hutte__Status__c,Hutte__Tags__c,Hutte__Thumbnail__c,Hutte__Zip__c,Name
Architectural Details;-71.084407;42.349693,95 Gloucester St,,3,3,jonathan@dreamhouse.demo,Boston,,,,2024-07-27,,Lorem ipsum dolor sit amet,42.349693,-71.084407,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house11.jpg,690000,,MA,Available,contemporary,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house11sq.jpg,02420,Architectural Details
City Living;-71.057352;42.365003,127 Endicott St,,1,3,michelle@dreamhouse.demo,Boston,,,,2024-07-27,,Lorem ipsum dolor sit amet,42.365003,-71.057352,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house07.jpg,450000,,MA,Available,colonial,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house07sq.jpg,02420,City Living
Contemporary City Living;-71.068781;42.339892,640 Harrison Ave,,2,2,michael@dreamhouse.demo,Boston,,,,2024-07-27,,Lorem ipsum dolor sit amet,42.339892,-71.068781,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house08.jpg,650000,,MA,Available,contemporary,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house08sq.jpg,02420,Contemporary City Living
Contemporary Luxury;-71.075311;42.352466,145 Commonwealth Ave,,3,4,jen@dreamhouse.demo,Boston,,,,2024-07-27,,Lorem ipsum dolor sit amet,42.352466,-71.075311,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house12.jpg,845000,,MA,Available,contemporary,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house12sq.jpg,02420,Contemporary Luxury
Heart of Harvard Square;-71.121653;42.374117,48 Brattle St,,4,5,victor@dreamhouse.demo,Cambridge,,,,2024-07-27,,Lorem ipsum dolor sit amet,42.374117,-71.121653,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house10.jpg,450000,,MA,Under Agreement,victorian,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house10sq.jpg,02420,Heart of Harvard Square
Modern City Living;-71.106827;42.335435,72 Francis St,,4,5,jonathan@dreamhouse.demo,Boston,,,,2024-07-27,,Lorem ipsum dolor sit amet,42.335435,-71.106827,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house03.jpg,825000,,MA,Pre Market,contemporary,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house03sq.jpg,02420,Modern City Living
Quiet Retreat;-71.052617;42.366855,448 Hanover St,,2,4,miriam@dreamhouse.demo,Boston,,,,2024-07-27,,Lorem ipsum dolor sit amet,42.366855,-71.052617,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house06.jpg,725000,,MA,Contracted,colonial,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house06sq.jpg,02420,Quiet Retreat
Seaport District Retreat;-71.049327;42.35695,121 Harborwalk,,3,3,caroline@dreamhouse.demo,Boston,,,,2024-07-27,,Lorem ipsum dolor sit amet,42.35695,-71.049327,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house09.jpg,450000,,MA,Available,contemporary,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house09sq.jpg,02420,Seaport District Retreat
Stunning Colonial;-71.110448;42.360642,32 Prince St,,4,5,jen@dreamhouse.demo,Cambridge,,,,2024-07-27,,Lorem ipsum dolor sit amet,42.360642,-71.110448,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house04.jpg,930000,,MA,Available,colonial,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house04sq.jpg,02420,Stunning Colonial
Stunning Victorian;-71.11095;42.35663,18 Henry St,,3,4,caroline@dreamhouse.demo,Cambridge,,,,2024-07-27,,Lorem ipsum dolor sit amet,42.35663,-71.11095,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house01.jpg,975000,,MA,Available,victorian,https://s3-us-west-2.amazonaws.com/dev-or-devrl-s3-bucket/sample-apps/realty/house01sq.jpg,01742,Stunning Victorian
